Product_ID,Rating,Positive_Comment,Negative_Comment
P001,5,Excellent product!,None
P002,4,Good value for money,Could be better
P003,3,Satisfactory,Average quality
P004,2,Not great,Poor build
P005,1,Terrible experience,Not as described
P006,5,Excellent product!,None
P007,4,Good value for money,Could be better
P008,3,Satisfactory,Average quality
P009,2,Not great,Poor build
P010,1,Terrible experience,Not as described
P011,5,Excellent product!,None
P012,4,Good value for money,Could be better
P013,3,Satisfactory,Average quality
P014,2,Not great,Poor build
P015,1,Terrible experience,Not as described
P016,5,Excellent product!,None
P017,4,Good value for money,Could be better
P018,3,Satisfactory,Average quality
P019,2,Not great,Poor build
P020,1,Terrible experience,Not as described
P021,5,Excellent product!,None
P022,4,Good value for money,Could be better
P023,3,Satisfactory,Average quality
P024,2,Not great,Poor build
P025,1,Terrible experience,Not as described
P026,5,Excellent product!,None
P027,4,Good value for money,Could be better
P028,3,Satisfactory,Average quality
P029,2,Not great,Poor build
P030,1,Terrible experience,Not as described
P031,5,Excellent product!,None
P032,4,Good value for money,Could be better
P033,3,Satisfactory,Average quality
P034,2,Not great,Poor build
P035,1,Terrible experience,Not as described
P036,5,Excellent product!,None
P037,4,Good value for money,Could be better
P038,3,Satisfactory,Average quality
P039,2,Not great,Poor build
P040,1,Terrible experience,Not as described
P041,5,Excellent product!,None
P042,4,Good value for money,Could be better
P043,3,Satisfactory,Average quality
P044,2,Not great,Poor build
P045,1,Terrible experience,Not as described
P046,5,Excellent product!,None
P047,4,Good value for money,Could be better
P048,3,Satisfactory,Average quality
P049,2,Not great,Poor build
P050,1,Terrible experience,Not as described
